	dist_type_ambigious	dist_type_portal
30x32	398.47129131218486	465.9182009752355
30x34	530.8066502974509	332.4895487079253
30x36	511.0381590448995	204.65825172711703
30x38	489.9318013764772	82.58674227743809
30x40	441.69292500559686	0.20000000000027285
30x42	345.9815746539112	88.30203848156648
30x44	261.6041666334845	212.51903444162386
30x46	226.81066994301676	346.20872317144193
30x48	242.00935932314718	465.06185610088494
30x50	311.7619925520109	596.2455366709258
30x52	408.8734889913997	729.8887106949938
30x54	518.0525069913285	856.2284741819794
30x56	634.1316109452363	982.5986464472667
30x58	755.7529292037182	1110.1163407499237
31x19	367.200122548999	1292.886278835072
31x21	241.00008298753758	1166.8707040627937
31x23	113.80070298552637	1040.229590042506
31x25	0.31622776601655034	909.8661989545495
31x27	72.38701541022411	790.7600647478347
31x29	206.62313520029656	657.0433166846764
31x31	328.56148587440987	536.1733395087823
31x33	458.6544014832955	407.84882003016764
31x35	587.9623882528542	280.1174218073556
31x37	555.4004051132839	168.9260489089823
31x39	530.0716932642224	55.009090157900175
31x41	427.13123276107996	33.446823466511866
31x43	347.8269972270699	151.9131988998985
31x45	291.2693942040602	279.62878964799035
31x47	282.22048118448123	404.1014724051375
31x49	320.6074546856329	532.2743089798718
31x51	393.6104165288315	663.0345089058341
31x53	488.14942384478985	788.4211184386176
31x55	595.9394767927364	913.4559978455452
31x57	717.619376828692	1048.258159996859
31x59	826.8020803070102	1167.4508469310388
32x20	308.05858209113416	1234.4416916160926
32x22	187.20924122489245	1110.4471621828748
32x24	75.83996308015983	983.8384521861299
32x26	47.70073374697745	856.7820959847376
32x28	148.62705002791384	730.7325091988175
32x30	268.674542895303	611.1818141927981
32x32	396.2326589265453	484.92836584386373
32x34	525.6469632747823	362.1230868088914
32x36	623.8961852744416	247.21417839598118
32x38	604.059218951255	142.97811021271772
32x40	519.556397323717	86.25688378326718
32x42	430.085851894712	123.60517788507094
32x44	365.1221302523311	231.80718280502032
32x46	338.8992180575224	348.3017082932557
32x48	352.13020319194464	474.5116226184562
32x50	399.95842283917483	603.1961040988245
32x52	481.61753497978066	731.5847524381576
32x54	580.0523166060111	860.5083904297508
32x56	682.1846377631208	983.2923675082607
32x58	796.8159260456588	1111.2250987086286
33x19	384.3924296861218	1305.8600001531559
33x21	269.21994725502793	1185.0766135571153
33x23	157.3273339251638	1056.2391253878072
33x25	104.61381361942615	936.1100629733663
33x27	128.78113215840315	806.1708131655472
33x29	229.56038421295614	684.3094110122995
33x31	346.7169739138827	565.7524723763919
33x33	471.5390651897256	444.69662692671704
33x35	598.2114759848729	329.16738902874323
33x37	666.3969387684792	227.27401963268926
33x39	604.0943386591206	158.02648512195697
33x41	512.5831152115722	141.67939158536817
33x43	446.6011195686817	204.67232348317157
33x45	403.2517823891175	310.36655747680055
33x47	399.88519602505954	427.24720010785376
33x49	425.8230853300468	550.9026229743333
33x51	486.1448343858036	675.3926265514012
33x53	566.2512693142511	800.9150391895514
33x55	660.8337309792838	926.720680679999
33x57	770.2926197231807	1055.523907829662
33x59	877.7169532372045	1178.9465848799093
34x20	354.3585190171106	1247.262105573644
34x22	246.03772068526396	1119.0297404448195
