	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
14x46	761.117730709251	455.6816871457528	456.7207023991793	835.6061273111875
14x48	810.9278636228996	409.47698348014615	409.347773903804	963.2001868770586
15x23	1339.6585273867365	999.2728206050637	385.83127141277686	260.14528633054243
15x25	1230.945279043711	939.6820100438231	267.70259617717545	213.19446521896364
15x27	1127.9492985059212	870.5334111910926	157.9519547204148	221.16875909585417
15x29	1029.9865047659603	812.5781193214592	87.20206419575152	202.0396000787962
15x31	939.2007879042691	769.9615055312829	134.56715795468077	85.24271229847155
15x33	850.7427166893641	726.581977480862	245.59920602477527	38.68035677188116
15x35	777.3391795091766	644.6000310269926	362.22672458006195	137.67933759282846
15x37	714.3333955514048	574.1116616129651	497.5833598503875	269.5822694466388
15x39	678.4868458562772	535.6657539921698	546.1920907519623	393.3398022066928
15x41	655.2174371916545	513.3954518692192	513.2688281982453	516.4158111444691
15x43	655.5053699246101	510.3772036445202	510.2474791706472	648.2996915007752
15x45	686.7482945009765	442.8977534375173	445.09686586180305	772.578552640442
15x47	732.3955215592187	376.24699334346826	376.9371300362964	900.27995645799
15x49	793.0393495911787	341.6214425354473	342.50578097310984	1025.9539024732055
16x22	1366.6013647000357	984.1028858813493	433.0774642024219	257.3571254113629
16x24	1258.024661920425	918.1145081088739	312.1596546640835	179.47325706076634
16x26	1145.9377295472907	857.050686949144	185.87436617242292	150.7789109922205
16x28	1043.8733495975457	789.1491430648582	75.64634822646767	202.44349829026356
16x30	941.5489896972966	731.3620854269108	49.52272205765753	167.98363015484574
16x32	847.1087356414168	693.2047388758965	170.71323908824408	94.14887147491478
16x34	763.8936378842279	638.8095882185864	295.7169085459944	124.94034576548925
16x36	690.5698009614956	555.4972997234098	425.60104558142257	227.89921017853504
16x38	642.4040006102078	501.00788416950076	520.827130629732	337.8598821997073
16x40	605.9420764396543	463.92499393759755	469.51293911882755	463.38968482261254
16x42	596.6624003571868	451.1093215618581	451.1040013123358	592.7512294377804
16x44	613.2719217443432	443.5744018763929	447.2087320256613	716.2901995699791
16x46	650.6759869551048	356.1663094679224	358.18101568899476	841.4601832528975
16x48	712.8927899761647	299.0456988488548	299.2479406779601	969.582863916231
16x50	790.4466142631013	279.1412724768589	282.1011343472407	1100.5038164404523
17x21	1405.5456520511882	980.5058796356091	498.4148673544961	288.9369827488339
17x23	1285.497226757024	900.5623354327005	366.54756853647234	172.56337966092323
17x25	1177.2387226047229	838.4606192302654	244.67041096135824	105.12283291464323
17x27	1063.1840668482573	773.9768471989327	113.23762625558689	118.0421958453841
17x29	958.4165117525887	709.8978870231971	0.09999999999990905	220.6400009064539
17x31	858.5153929895489	656.7471964157896	100.13630710187006	170.80011709597866
17x33	762.310048471093	625.6871502596166	229.6919894119078	148.0945981459148
17x35	680.2612806855906	553.9324958873599	356.9686400792093	209.4077601236402
17x37	611.7898005034081	474.7944397315536	486.0563341836006	309.53280924645134
17x39	562.7253770712672	420.06719700543135	434.98143638550806	425.5542856087813
17x41	542.0574231573625	400.91651250603275	401.0020573513307	539.9656007561966
17x43	544.637540020884	400.05280901401005	399.8850459819672	668.4980553449655
17x45	572.9565864880165	357.70525576233825	361.47980579833205	788.3692345595433
17x47	626.6371517872205	272.2537786698283	273.9425487214424	912.6487385626524
17x49	703.1018418408531	227.79815626997495	227.68970112853137	1041.6990928286348
17x51	791.5405990851008	232.55261770188696	234.3700492810461	1166.7008699748196
18x20	1453.6843398757517	990.9677895875324	573.0455130266705	346.6830829446398
18x22	1323.5626203546244	897.5873272278301	432.6224797672907	209.0980870309433
18x24	1206.6085073461068	818.4543298193247	309.5262347524035	90.20027716143669
18x26	1090.8078703419772	758.0982851847112	178.91397374157225	37.54743666350594
18x28	978.6263689478226	691.019514919803	53.3476334995283	137.7053738965913
18x30	874.649964271422	632.6387278692317	52.66080136116432	225.31657728627064
18x32	773.1119582570171	587.009454779052	171.32804790809948	199.80715702897135
18x34	681.1855841105267	565.0127432191239	298.75274057320416	215.6562078865344
18x36	602.7140698540229	473.61086347337937	425.8594251628112	290.2675489957498
18x38	534.3024050104957	395.04766800982367	418.1715676609301	393.09268627131723
18x40	493.05826227739044	350.6469021679786	359.0866886978685	507.1662942270514
18x42	489.5506613211752	343.8244464839578	343.8139758648563	623.1762591755245
18x44	507.3360326253202	367.4156365752552	367.9041315342898	746.2443634628005
18x46	555.3609456920788	270.9859405947103	274.55014114001085	869.1863896771512
