	dist_type_4	dist_type_central	dist_type_parasite	dist_type_portal
30x46	29.56095397648762	295.78277502248176	23.13547060251833	29.753151093624
30x48	155.70080282387784	393.08362977870263	61.32813383757883	155.70722526588187
31x7	1163.6087701628928	1428.968288661438	756.0132075565873	1164.4024948444587
31x9	1038.941153290214	1348.2020323378836	655.5357503599631	1039.7129026803507
31x11	913.3730727364365	1272.1403892652725	562.5674803967961	914.1120117359796
31x13	785.5504184964832	1201.1152567509914	480.78795741990035	786.2390603372488
31x15	660.3824497970852	1144.0200085662834	425.896912409564	661.0114825023842
31x17	534.0688532389808	1084.1905459835	362.19599666478916	534.6336502690417
31x19	411.8894147705183	1004.1439588027206	279.4821819007429	412.306548577633
31x21	289.3371735536241	934.8737882730481	236.04448733236708	289.69811873741946
31x23	176.6593614841851	879.0050796212724	249.35743421843262	177.14437614556095
31x25	69.43846196453379	839.5873391136861	319.0010971767965	69.4845306525129
31x27	14.326548781894209	815.1293455642482	361.3234700375831	14.75974254517991
31x29	86.86777308069976	776.7524766616455	339.4315984112267	87.3785442771848
31x31	174.10413550516242	657.1563360418888	369.6853391737359	174.55958867962528
31x33	216.6679487141557	539.4682567121072	430.60074314845303	217.27632176562636
31x35	136.33315810909667	420.9267513475473	518.4778973109657	136.89240300323445
31x37	31.42499005568671	313.8775716740525	539.1409184990505	31.84540783221355
31x39	113.14884002940586	230.87888599869828	411.87893852441607	113.47537177731597
31x41	235.52634672155054	175.29934398051776	287.74547780981726	236.01919413471447
31x43	130.70397851634036	146.75397779958112	168.28882910044854	131.51931417096108
31x45	15.285614151874798	205.10497312352038	79.86645102920262	15.628499608087726
31x47	101.28124209348961	312.3089656093788	69.79462730038762	101.70983236639441
31x49	233.16554205113596	402.371681409117	109.21616180767397	233.36874255135382
32x8	1109.336851456761	1347.9477920156996	675.3778572029142	1110.0176800393767
32x10	983.7109534817633	1263.1243960908996	569.4102563178853	984.3437610916218
32x12	856.4691529763346	1183.9244105938517	472.01208670965167	857.0495959978047
32x14	734.1913919408208	1120.3660116229873	399.021302689468	734.7012998491292
32x16	610.0161391307611	1065.0170374224065	352.20830484246085	610.4186186544445
32x18	487.8454263391224	998.9441225614171	276.2219397513526	488.1734937499169
32x20	370.4286301030199	920.789644815796	199.13706335084876	370.8627374110264
32x22	259.46194325950773	857.1933854154498	181.16429007947454	260.0201915236584
32x24	150.5107637346911	799.9628053853503	230.76934371792092	150.5001328903068
32x26	21.30586773637718	769.1571620936777	331.20075483005775	21.44621178670019
32x28	14.782760229402427	758.5430310799774	397.41329872061425	15.17003625572469
32x30	99.53014618697192	734.5081687769034	407.2361108742691	99.73590125927574
32x32	145.77853065523726	618.1774664285327	448.6894025938213	146.43968041483822
32x34	201.69541392902337	506.1099090118665	506.10279588241764	201.7241681108143
32x36	115.03825450692467	400.0222493812061	568.3472530064697	115.29180369826805
32x38	96.1212255435814	291.0245522288454	490.64558491848277	96.55407811169887
32x40	195.42287481254638	173.31272313364602	366.5472684388738	195.88899918065889
32x42	209.03370541613623	99.01358492651383	251.92199189431645	209.50582330808857
32x44	98.99949494820679	121.38410110059704	159.395420260433	99.57760792467363
32x46	72.79079612148796	226.7476570992522	128.91120975307	73.32189304702945
32x48	177.45165538816488	310.386033835287	154.60688859167968	178.0182294036204
33x9	1059.1887320019978	1261.2682387184734	590.7459437016896	1059.739293411356
33x11	933.8592238662098	1178.6086076386848	483.9167800355757	934.3461082489721
33x13	810.2040854007092	1104.955682369207	390.71045545262785	810.6080803939717
33x15	688.4017213807646	1038.7026186546366	317.46012348009924	688.7223896462201
33x17	568.2163056442503	990.1567401174418	287.95688913446713	568.6000087935279
33x19	453.7007053113318	912.8661073782943	189.552974125968	454.116868217863
33x21	339.656591280075	836.1326449792518	122.50469378762567	340.61503196423956
33x23	212.49047037455574	773.828921661629	148.8005376334372	213.42399115375935
33x25	88.58035899678875	727.239630383273	241.72687066191048	89.35144095088769
33x27	30.814606925936776	703.9181344446239	360.8882652567134	0.5830951894843897
33x29	34.26149442158082	698.0995989112155	435.40148139389686	34.49710132750306
33x31	69.16661044174411	701.5896378938334	414.1043588275785	69.54437432316136
33x33	118.40878345798487	589.293848601867	434.00834093367354	118.5421444044267
33x35	200.93235180030112	462.7018586519833	485.28961456021295	201.0109698499064
33x37	148.9174267841077	336.5947117825827	506.84218451111553	149.0187907614341
33x39	185.15714947038958	207.16314826725292	447.9019647199595	185.34338402004045
33x41	278.4084948416626	89.33694644434617	337.68756269664436	278.9402982718705
33x43	184.6695697726077	37.342335224246284	243.5172478491001	185.25185559124643
33x45	117.43696181356219	148.170307416837	189.60021097034704	117.74311020182907
33x47	156.5046005713572	228.698688234104	184.83314096773907	157.15816873455884
33x49	265.06567110812404	321.4330567941017	220.36381281871127	265.5108472360408
34x8	1138.670035611722	1269.8737141936592	627.8234226277319	1139.1464567824455
34x10	1019.4394391036674	1182.7036695639358	515.284746523706	1019.847522917029
