	dist_type_central	dist_type_parasite	dist_type_portal
27x49	173.30046162662134	221.38484591317427	123.31038074712123
27x51	199.76190828083327	144.76885024065058	230.4005642354206
27x53	289.8992411166335	56.705996155609576	345.8013447053092
27x55	395.6946297335864	13.328165665236988	466.94350836048676
28x16	1001.9934780226863	542.118741605564	824.1021356603803
28x20	856.9922111664724	476.8140622926297	568.3465931981997
28x22	805.9350097867692	459.0111545485578	441.2800018129077
28x24	776.8776802045478	426.35774884479326	317.83569654776034
28x26	760.2657495902338	387.3817367920176	193.5897982849302
28x28	761.4756463604074	385.5678409826214	88.15191432975229
28x30	795.768031526776	306.4695090869564	51.001568603328266
28x32	818.9525322019585	236.42387781271162	34.73110997362451
