	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
48x46	1921.503033773302	601.6064733694285	600.899582958751	781.0423732423234
48x48	2038.985861255541	700.2432880078184	699.8181352322905	892.7788429392805
49x15	579.37803375689	456.67216468709796	304.4901738972868	751.2785009568688
49x17	577.5956904271364	393.1424952863787	187.52360278109012	635.4994741146528
49x19	596.2439852946113	357.12453010119657	92.35935253129544	521.3959819561331
49x21	644.7301627812986	363.6570675787834	102.31335592189313	414.6405947323535
49x23	710.8986237150839	333.46641989861564	199.8190511437788	319.84135630027595
49x25	793.1890110181811	212.34200526509105	223.90303079681604	251.76450742707968
49x27	884.3552293055097	111.18800115120293	141.00245246094082	234.3035031748356
49x29	983.2167276852036	77.10728629643236	151.44402794431997	273.45598110116373
49x31	1088.6555122719035	146.78741226685614	215.31080883225522	178.40735522954213
49x33	1198.8023817126825	32.58942159658555	102.67828592258437	50.602276628626015
49x35	1312.2872429464521	0.35777087639964095	85.34827473358823	77.84065775672777
49x37	1425.6141486391055	83.1472236457723	127.71460683884256	204.12902978263563
49x39	1543.091312528199	206.12452255857397	225.48134911783742	332.33001489483325
49x41	1662.248224544096	332.8433265066313	343.95313634272907	460.57029865157386
49x43	1780.0244665734233	458.20229331595453	465.6007534358165	586.5055000594623
49x45	1893.2860425197246	585.2329782232031	590.3650385990012	713.9255695098755
49x47	2005.7229659152836	688.3299325178301	687.6332569037078	843.3743510446593
50x16	633.0986659281474	470.0406799416407	267.92148252799717	714.3535824785928
50x18	639.4661279536235	424.68751900662215	174.49392195718454	605.0156103771208
50x20	672.6080879680236	414.51875711480227	134.62629757963387	497.00788726135966
50x22	725.6209991448703	379.854491088364	188.31780160144177	403.13986952421357
50x24	796.8192849071868	254.8588095397134	255.02786671263968	328.414209193208
50x26	879.2218204753569	131.06444826878072	138.10579133403454	291.6814179888738
50x28	969.0684188435824	34.09106041178489	75.65738827107326	301.3601174674584
