	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
30x34	171.74138813925993	171.3065801421531	260.11117699937483	61.03920379559367
30x36	100.21205715880696	99.77783521403936	380.254094521019	50.325901879648406
30x38	89.43645789050422	89.11318645408171	403.4291511529623	118.62040296677495
30x40	163.8102768448915	163.63070249803363	339.3056539464084	220.43739882333958
30x42	270.2065972547672	270.3673153323086	311.1987872727013	332.2615915208978
30x44	388.7385887714261	388.72037559150397	330.1151471835242	450.8850079565743
30x46	512.3499760905627	512.0995000973934	392.42902288184524	573.4993443762603
31x13	725.8983678174237	725.6483172997783	558.0525785264322	795.2000505533182
31x15	600.8196817681658	600.602405922587	430.4545155994997	723.8770682926763
31x17	477.518212427547	477.2481149255593	303.7311363689932	605.8853383273107
31x19	356.85974836061285	356.6385845642615	176.09565582375956	489.08964413489684
31x21	242.64926128055671	242.287317043216	50.41650523390115	380.72665259999866
31x23	142.56294188883697	142.39014151267605	0.2690724809415675	285.54073684852756
31x25	85.88197715469752	85.5945909505968	22.795482008503498	225.4936673168452
31x27	121.62442188968464	121.64086484401531	80.2900990160057	212.91430200904776
31x29	231.0715092779722	230.93835194700767	163.69252395879317	253.86965631993152
31x31	269.4535930359807	269.27732693266233	164.66960496703706	238.66897326632122
31x33	169.61029449888937	169.02938206122622	239.98710798707512	142.8855905961133
31x35	95.61473735779444	95.38395043192546	342.5335866743581	97.09221389998267
31x37	25.69542371707442	25.38847770150842	404.98406734092634	116.19421155978483
31x39	77.91057694562413	77.74559794612179	320.093077088524	202.51779674882937
31x41	190.09930562734817	190.16504936501852	265.3332734505792	305.45478552479756
31x43	313.412597066551	313.05056460578413	259.64224617731196	413.7620282239544
31x45	438.54783091471324	437.9962100292649	307.43773353314975	530.1294181612636
31x47	561.7078137252503	561.0661173159546	391.43263532822624	646.7847153419757
32x12	781.2234694375227	781.0193014260275	623.7577648414486	877.2197838626305
32x14	653.1849900296239	652.9428697826479	495.4884369992907	802.4700811868317
32x16	527.1921733106437	526.8951960304818	369.2987240703654	685.8711158811107
32x18	402.3780679907889	402.1636850835738	243.65473440916347	572.2402551376476
32x20	278.7733308621897	278.50093357114605	120.16642625958387	465.24355986945176
32x22	158.17967631778734	157.76884990390204	25.50705784679997	370.34066749413296
32x24	59.06737170384307	58.658285007319826	73.11521319123702	301.85465774110594
32x26	38.25164048769662	38.16370003026425	78.85472718867283	267.5512436898772
32x28	151.21120064333874	150.99240775615192	162.3626410231127	280.5218479904913
32x30	277.41999134885697	277.12721194426194	211.54037817873018	323.2918365811302
32x32	185.28085707919195	185.29812735157353	244.85153869232693	226.7616281472684
32x34	85.07768214990297	84.56412951127635	324.90498918914795	165.70616162351996
32x36	28.283118639923458	28.324102810150674	424.88131848788055	163.74301450748982
32x38	0.46389654018975707	10.188974433180274	320.2804633442384	196.79322955833618
32x40	114.2063395788521	113.36440358419428	236.81521910552948	287.3228288876471
32x42	243.21819010921024	242.30288483631375	198.5639645051435	390.5739981104734
32x44	370.73886497102	369.781430036718	224.29941150167997	497.7710176376286
