	dist_type_4	dist_type_ambigious	dist_type_parasite	dist_type_portal
36x46	18.7579316557024	19.376790239872097	264.0338235908423	419.09791218759375
36x48	140.81196682100574	141.6961890807231	191.51660502421188	351.96165984379604
37x27	352.6041548252089	352.7847644102561	322.5614515096308	454.69406198014053
37x29	370.29837968859647	441.42619994739795	304.82435926283847	418.2801573108626
37x31	334.7910691759866	547.9735942543216	347.190812090412	425.61844414921666
37x33	350.8029931457257	629.9983650772436	286.19563239155127	319.23774839451534
37x35	407.62360088689684	630.9080757130947	256.6655411230731	235.40433301024834
37x37	490.5927537173781	518.2839472721492	231.95743143947772	199.5
37x39	391.02594543073457	391.2049207256982	217.43893395618005	232.99633044320692
37x41	263.8025397906547	264.06472691368674	274.3504692906501	321.54530007449955
37x43	140.96258368801267	141.4095117027139	371.0030323326212	421.2598366804032
37x45	47.78001674340444	48.21130572801371	347.54356561444206	501.58122971259604
37x47	106.57734280793484	107.03798391225453	272.24314500093493	432.75550834160407
37x49	211.9867920413914	212.58127857363198	236.77879972666508	390.1143422126393
38x26	267.7434032800807	267.96553882915606	285.83584449820114	422.9746209880679
38x28	357.3398522415321	357.5169506470987	247.58830747836205	372.9294437289712
38x30	407.03961723645523	464.7453603856632	263.5075900235134	359.47218251208255
38x32	400.5551772228143	581.4463431822408	262.82361005054304	334.7172687508069
38x34	435.2096506282921	691.0000289435594	202.57699770704465	225.67108809061017
38x36	499.63731846210254	583.1658854905692	201.8188544214832	148.1858630234338
38x38	461.2605012354732	461.5400849330424	155.32626951034393	152.94852075126454
38x40	339.4747265997869	339.8524532793607	191.10020931438024	237.93967722933465
38x42	222.88375894174072	223.43672482383013	286.9006273956194	336.92724733983744
38x44	130.6081926986207	130.88200793080782	370.7210541633692	446.45414098202747
38x46	110.62169769082409	110.9511604265592	353.387832274967	513.3174066793375
38x48	196.16984987505117	196.7272477314724	305.5444484849953	463.57201166593296
39x25	181.46275099865522	181.81234831550896	276.1259314153597	406.5077244038542
39x27	270.49999999999994	270.70362021960466	206.8179150847428	343.1204598971035
39x29	386.93020042379754	387.3646602363206	194.7885520250098	305.83292824677966
39x31	457.3460506006369	501.5368480979238	248.5634928946724	315.50595873929194
39x33	468.8697153794432	621.4063163502608	178.5402195585071	254.59224261552006
39x35	518.4363895407035	660.6518674763586	133.20093843513246	136.53677160384294
39x37	540.9187092345759	541.2685562638935	116.08122156490221	76.37047858957004
39x39	419.05441174148234	419.49493441518433	110.55134553681371	154.56002070393248
39x41	307.18037046660385	307.63839162237207	202.8284496810051	252.7555736279618
39x43	214.73232174034726	215.19193758131368	311.15489711717527	365.1812837482229
39x45	162.02805312661135	162.62438316562492	326.7930384815442	482.6270713501266
39x47	196.74923125643977	197.25886545349493	380.1413684407421	542.4177910061578
40x24	105.78397799288874	106.14636121883768	294.4843798913618	411.67201750908436
40x26	187.99111681140676	188.2483997275939	192.83220685352325	325.2848905190648
40x28	302.77491639830424	303.1300875861717	131.45132178871373	260.791200004908
40x30	420.20743686898254	420.6536461270721	162.66004426410302	246.09731814873544
40x32	517.694552801167	545.4629684955707	187.6705890649889	289.19552209534623
40x34	543.7282041608657	661.455637212353	93.73665238315262	176.0055680937395
40x36	596.1141585300588	616.601889390553	104.67420885776986	52.74552113686985
40x38	505.8411806090919	506.3126504443672	42.919692449969446	65.50190836914601
40x40	395.466572544381	395.86034153473895	115.79037092953784	165.55666703579155
40x42	300.9463241177737	301.2522033114449	235.94425189014453	283.480669534979
40x44	236.3067921156735	236.65016374386926	254.22450707986403	405.0838184869893
40x46	221.3800578191272	221.54848227871048	301.98365849827036	532.7383316413417
40x48	273.3449834915582	273.9286038368396	381.7767410411483	575.2179413057282
41x23	53.07447597480322	53.34135356362796	335.03626669362217	433.6040820841056
41x25	101.45368401393797	101.87958578635848	210.7373958271287	324.93237758032024
41x27	224.27387275382753	224.76247462599275	104.94174574496068	239.80819418860554
41x29	349.5341471158434	349.8464234489186	82.55737398924455	189.7675420086374
41x31	475.05456528697863	475.2776451717462	176.0001136363272	209.8662431168959
41x33	577.7368345535882	578.4310244099984	103.34335972862483	218.22247821890375
41x35	619.8463035301575	660.3956692771388	21.000952359357417	101.25235799723366
41x37	586.3543382631356	586.8546753669085	51.899999999999636	0.1000000000003638
41x39	482.405016557664	482.8200492937302	34.44706083252975	81.30067650395044
41x41	390.97218571146465	391.16013344920515	161.5	204.91034624928045
41x43	315.37617221343794	315.8226242687501	195.41015838486976	334.1591387348252
41x45	281.5765082530859	281.92007732689086	215.30705980064826	461.3886973041279
41x47	295.8889149664113	296.22533652609826	297.09939414276846	588.6396605734279
42x18	339.0053244419621	340.00001470588205	468.5003842047517	407.37625114873833
42x20	210.9028686386222	211.90002359603443	423.10710228026153	421.2130339863662
42x22	84.22873618902263	85.20023474146048	385.51378704269433	465.4888613060465
42x24	21.50279051658192	21.400233643584453	258.45380631749254	347.97782975356324
42x26	151.40330247388934	151.4000000000001	130.58162198410608	239.1258246195922
42x28	277.7052034082188	277.70016204532567	23.24177273789552	160.85453055478382
42x30	408.0049019313371	408.0	94.02127418834527	135.09256086106296
42x32	489.9511200109657	490.6315318036538	165.74347649304343	204.74398648067762
42x34	577.0600055453504	577.1052330381348	38.489608987361706	147.8852595764701
42x36	670.0930830862233	670.2375250610788	49.225399947588215	22.016811758290356
42x38	567.5880988886219	568.0310290820388	41.80011961705373	27.225906780123964
42x40	471.87119005084446	471.9729017644977	111.75875804607017	144.28035209272275
42x42	393.6816099337129	394.01904776292236	161.35367984647877	271.7852277074676
42x44	344.7074121628373	345.1785045451124	142.56296854372778	397.09192890311965
42x46	335.7036341775289	335.8114500728052	213.17019022368027	525.383983387389
43x15	450.5600625887737	450.82210460446555	543.7958900175687	402.6313077742461
43x17	406.6212980157334	407.32183835389907	454.60453143364043	357.7684726188151
43x19	281.9075202969938	282.4727420477947	388.9527606278169	352.0259223409547
43x21	159.50423191878	159.86056424271732	354.24398371743723	386.6254000967862
43x23	58.495811815889944	58.94709492417764	320.7147642376322	386.4261378323159
43x25	102.47072752742609	102.9866496202299	192.2062694086746	264.2692755505263
43x27	222.0413700191927	222.28623439160611	65.99674234384598	152.96787244385652
43x29	335.5354675738468	335.9592981299967	23.48297255459814	80.40055969954423
43x31	406.1097881115401	406.776302161274	149.88115291790368	120.56682794201735
43x33	489.74738386233366	489.8086361018964	123.01422681950247	215.9270710216762
43x35	584.449570108491	584.6055935414919	55.30009041583946	93.69364973145191
43x37	654.2315339388647	654.6960363405294	64.5112393308326	44.06472512112174
43x39	558.7741046254738	558.8245699680714	35.141143976825994	113.42001587021618
43x41	479.1227191440623	479.4002294534286	156.0018589632831	223.06989935892324
43x43	423.78066260743907	424.1264551993899	80.58194586878606	342.60801216550686
43x45	392.2174906859717	392.46217652150926	127.16744866513577	468.6983678230596
43x47	402.3915133299909	402.63697048333785	235.76286815357508	593.1639992447285
44x14	415.44478574173957	415.83550834434504	558.062693610673	384.65045170908076
44x16	383.5287212191544	383.98942693777366	457.19916885313756	323.7129592710181
44x18	358.5390634226624	358.85687954949384	371.3056153628705	292.8895013482047
44x20	241.06623571126678	241.47697612816017	311.7058388930176	309.61868483668724
44x22	141.45303107392212	141.8998238194818	293.3154615767809	368.96010624456414
44x24	111.01144085183294	111.52730607344554	266.1404516416097	309.50079159834144
44x26	187.97244478912344	188.55513782445723	147.59417332672737	184.3063753645
44x28	258.8641728783649	259.18769260904344	61.85353668142189	66.62326920828795
44x30	320.3745464296436	321.01721137658626	109.36018471089014	34.48840384825004
44x32	404.1184974732041	404.20905482188306	208.69202188871517	158.08213055244426
44x34	498.4872515922547	498.6601447880107	125.23553808723808	177.7569689210526
44x36	604.3166802265183	604.6678840487562	127.04034792143776	96.54040604845234
44x38	645.659236749541	645.6745697330815	20.929644048573863	127.0301145398212
44x40	560.8033166806348	561.1614384470839	93.30144693411789	199.84283825046145
44x42	496.8459117271673	497.2623653565591	77.05491548240121	305.8840630042697
44x44	456.1571768590296	456.765333623295	41.62895626844394	420.88522188359184
44x46	450.11004210081813	450.1902375662985	157.33292725936326	543.4004508647379
45x15	338.2934377134736	338.59954223241334	474.2116088836289	300.59649033213924
45x17	322.17389714252135	322.2843775301557	369.2820331399836	244.95146458023055
45x19	324.562551752355	324.8880576444756	287.4352970670092	238.48574380872293
45x21	226.95501756956165	227.545555878378	239.14301160602594	284.70086055366943
45x23	168.35415052798675	168.93939741812747	247.73962137696097	369.5222862020639
45x25	189.5938026413314	190.07317012140382	232.62117272509846	239.50033402899462
45x27	188.38683605814919	189.21152184790432	142.78165148225446	112.80070921762832
45x29	235.22044979125405	235.8233661026826	122.49024450951221	0.5099019513593499
45x31	319.76436636998784	319.9103780748599	194.48354686193903	92.90021528500347
45x33	410.6321589939103	410.82377000363556	208.61344635473534	219.52214011347505
