	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
29x35	218.99152951655475	219.52970186286882	403.1323479950473	101.54255265650937
29x37	176.770727214661	177.7253217749235	404.51760159478874	182.291223047079
29x39	220.34802018625015	220.78960573360357	397.38803454558126	216.01585589951475
29x41	292.26304932372153	292.2811831096899	428.4732080305607	132.77834913870575
29x43	394.2437444018615	393.942038883895	493.87096492909933	146.18389104138691
29x45	373.6931896623216	506.02707437448464	374.26942167374534	46.42628565801892
29x47	250.39205258953376	623.5900736862321	250.9880076816417	43.8152941334418
29x49	134.88354236154976	605.9105296988988	135.32690050392785	134.02227426812306
29x51	29.0621747293625	606.3701922093467	29.775997044599468	238.49781969653316
29x53	81.97426425409405	633.3468086285743	82.06204969411891	354.6330215871052
29x55	209.4566780983602	684.6445062950553	209.49773268462855	473.33043426342255
29x57	337.8335980923155	754.268347473232	337.86319716713774	595.6276857232211
30x18	471.476457524657	471.79640736232795	589.4665809017505	383.4324581983115
30x20	415.77226939756304	416.182387902227	463.85103212130497	255.3142769216009
30x22	343.73108675242037	371.1768581148345	344.06548795251166	130.5643902448136
30x24	229.21649155329104	366.0038251166235	229.59486056965636	16.056151469140996
30x26	134.043948017059	296.6286904532331	133.7780998519564	34.6493867189594
30x28	72.42444338757436	209.40797501527987	71.73632273820537	152.79954188413004
30x30	91.73058377662254	175.3479398225142	92.27621578716787	182.3811942059817
30x32	205.5419421918555	217.80011478417555	205.98662577944245	66.16109128483282
30x34	301.7489188050222	302.3560980036617	321.8468735283912	17.561605849124742
30x36	244.5453741128627	245.29174466337014	444.13493445123197	114.22714213355772
30x38	249.50496989038137	249.89223677417453	458.10449681268153	149.18756650605968
30x40	307.6472167922216	307.71189447273593	469.8297670433413	216.00372681970126
30x42	386.08040613323055	386.0819602105235	515.573932622665	187.41739513716456
30x44	410.6677610916152	483.373778767529	411.090269892149	123.15279127977563
30x46	291.5234810439803	591.4331238610162	291.8978245893586	56.35547888182675
30x48	174.57846373479174	552.5142894079752	175.42474169854148	127.99156222189039
30x50	44.24409565128429	538.3838221937949	44.70279633311539	228.15507883893372
30x52	18.587361297397774	555.7219538582219	19.50102561405425	327.89188767031135
30x54	150.3074848435701	601.2213735388989	151.30082617091043	442.81501781217867
30x56	277.20028860013866	667.7126627524746	278.20028756275605	558.2374046944548
31x17	465.51860328025526	465.6702373998146	667.084529876087	455.7549451185362
31x19	390.449394928459	390.7195029685615	542.4268890827592	328.2857444361542
31x21	336.00203868429094	336.50612178681047	425.4808691351469	208.33379466615588
31x23	307.08677926605696	307.1408308903263	309.8065364061901	97.10453130518675
31x25	217.10276368577155	325.84445675812873	216.78839913611606	29.209758643302724
31x27	110.20018148805364	291.786017485417	110.21469956407793	88.88126911785207
31x29	13.393281898026398	234.65331874917112	13.819551367537263	216.29281079129765
31x31	123.73200879319785	240.98923212459107	124.12417169914968	109.00555031740356
31x33	242.82619298584748	301.53434298600223	243.24506161482506	0.40000000000009095
31x35	322.07061337539017	322.62777313802366	365.3840171655023	83.73338641187252
31x37	295.20130419766105	296.13377044842423	492.9801314454773	72.77369030082234
31x39	324.31234944109093	324.7215730437389	515.7562408735355	156.3371357035813
31x41	388.8391055436687	389.05892869846895	542.3727961467098	248.4203091536603
31x43	455.1246971984709	471.16015323879003	455.87266862579054	207.07894629826552
31x45	331.91288013573677	569.0345859435963	332.5491843321826	121.83086636809253
31x47	208.83737692281017	514.3919225648862	209.28031441107854	129.92786460186304
31x49	90.41614900005393	485.4998249227283	90.70325242239086	214.82057629566145
31x51	19.188017094009115	486.9100327575925	0.42426406871154265	312.5075679083632
